"bid","field_name_organization","field_organization_link","field_activity_city","filepath","field_subtitle"
66,"Poznan","http://www.google.es",1500,"http://www.best-masters.com/logo_ecole/189.gif","Subtitle text (Heading 3)  Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin accumsan malesuada pretium. Morbi interdum eleifend ullamcorper."
67,"Ajuntament de Granollers","http://www.google.es",1500,"http://www.museugranollersciencies.org/img/patrocinadors/Ajuntament.jpg","Subtitle text (Heading 3)  Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin accumsan malesuada pretium. Morbi interdum eleifend ullamcorper."
68,"Bradford University","http://www.google.es",1501,"http://www.textmarketer.co.uk/wordpress/wp-content/uploads/2013/04/university-of-bradford-logo1.jpg","Subtitle text (Heading 3)  Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin accumsan malesuada pretium. Morbi interdum eleifend ullamcorper."
69,"Standford University","http://www.google.es",1501,"http://www.stanford.edu/group/frydman/images/stanford_seal.gif","Subtitle text (Heading 3)  Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin accumsan malesuada pretium. Morbi interdum eleifend ullamcorper."
70,"UAB","http://www.google.es",1502,"http://www.clubalpi.cat/wp/wp-content/uploads/logo-uab.jpg","Subtitle text (Heading 3)  Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin accumsan malesuada pretium. Morbi interdum eleifend ullamcorper."
71,"UPC","http://www.google.es",1502,"http://ilabvir.upc.edu/logos/logo-upc","Subtitle text (Heading 3)  Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin accumsan malesuada pretium. Morbi interdum eleifend ullamcorper."
72,"Universitat Ramon Llull","http://www.google.es",1503,"http://blogs.salleurl.edu/noticias-y-eventos/files/2011/12/Universitat-Ramon-Llull.jpg","Subtitle text (Heading 3)  Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin accumsan malesuada pretium. Morbi interdum eleifend ullamcorper."
73,"Universitat Pompeu Fabra","http://www.google.es",1503,"http://www.sirse.info/wp-content/uploads/2014/01/Pompeu_Fabra_University_189920-1.jpg","Subtitle text (Heading 3)  Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin accumsan malesuada pretium. Morbi interdum eleifend ullamcorper."
74,"Diputació de Barcelona","http://www.google.es",1504,"http://www.directe.cat/imatges/diputacio.jpg","Subtitle text (Heading 3)  Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin accumsan malesuada pretium. Morbi interdum eleifend ullamcorper."
75,"Diputació de lleida","http://www.google.es",1505,"http://www.portdelcomte.net/ckfinder/userfiles/images/logo_diputacio-de-lleida%5B1%5D.jpg","Subtitle text (Heading 3)  Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin accumsan malesuada pretium. Morbi interdum eleifend ullamcorper."
76,"Diputació de Girona","http://www.google.es",1506,"http://www.colegiominas.com/media/imagen_enlace/diputacio_de_girona.gif","Subtitle text (Heading 3)  Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin accumsan malesuada pretium. Morbi interdum eleifend ullamcorper."
77,"Ajuntament de Reus","http://www.google.es",1505,"https://serveis.reus.cat/images/reus.cat.png","Subtitle text (Heading 3)  Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin accumsan malesuada pretium. Morbi interdum eleifend ullamcorper."
78,"Deventer","http://www.google.es",1506,"http://indervilla.com/home/2013/01/Go-Ahead-Deventer.png","Subtitle text (Heading 3)  Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin accumsan malesuada pretium. Morbi interdum eleifend ullamcorper."
79,"Bradford University","http://www.google.es",1500,"http://www.textmarketer.co.uk/wordpress/wp-content/uploads/2013/04/university-of-bradford-logo1.jpg",
80,"Standford University","http://www.google.es",1500,"http://www.stanford.edu/group/frydman/images/stanford_seal.gif",
81,"UAB","http://www.google.es",1500,"http://www.clubalpi.cat/wp/wp-content/uploads/logo-uab.jpg",
82,"UPC","http://www.google.es",1500,"http://ilabvir.upc.edu/logos/logo-upc",
83,"Universitat Ramon Llull","http://www.google.es",1500,"http://blogs.salleurl.edu/noticias-y-eventos/files/2011/12/Universitat-Ramon-Llull.jpg",
84,"Universitat Pompeu Fabra","http://www.google.es",1500,"http://www.sirse.info/wp-content/uploads/2014/01/Pompeu_Fabra_University_189920-1.jpg",
85,"Diputació de Barcelona","http://www.google.es",1500,"http://www.directe.cat/imatges/diputacio.jpg",
86,"Diputació de lleida","http://www.google.es",1500,"http://www.portdelcomte.net/ckfinder/userfiles/images/logo_diputacio-de-lleida%5B1%5D.jpg",
87,"Diputació de Girona","http://www.google.es",1500,"http://www.colegiominas.com/media/imagen_enlace/diputacio_de_girona.gif",
88,"Ajuntament de Reus","http://www.google.es",1500,"https://serveis.reus.cat/images/reus.cat.png",
89,"Deventer","http://www.google.es",1500,"http://indervilla.com/home/2013/01/Go-Ahead-Deventer.png",
