bid,title,label,field_oami_block_text_1,field_oami_block_text_2,field_block_text_3,field_block_link_title,field_block_link_url,field_block_link_2_title,field_block_link_2_url
1,oami_block_intro,oami_block_intro,oami_block_intro,,,,,,
2,oami_block_header_home_1,oami_block_header_home_1,oami_block_header_home_text_1,,,,,,
3,oami_block_header_home_2,oami_block_header_home_2,,,,oami_block_header_home_link,competition,,
4,oami_block_countdown_home,oami_block_countdown_home,oami_countdown,oami_until_next_months_draw,,,,,
5,oami_block_guide,oami_block_guide,,,,oami_block_guide_link,guide,,
6,oami_block_rules,oami_block_rules,,,,oami_block_rules_link,rules,,
7,oami_block_faqs,oami_block_faqs,,,,oami_block_faqs_link,faqs,,
8,oami_block_countdown_participation,oami_block_countdown_participation,oami_countdown_to,,,oami_block_countdown_participation_link,competition,,
9,oami_block_header_participation,oami_block_header_participation,oami_block_header_participation_text,,,oami_block_header_participation_link,Ideas-gallery,oami_block_header_participation_link_2,competition
10,oami_block_toolkit_intro,oami_block_toolkit_intro,oami_intro_text_for_toolkit,,,,,,
11,oami_block_supporters_intro,oami_block_supporters_intro,oami_intro_text_for_supporters,,,,,,
12,oami_block_team_intro,oami_block_team_intro,oami_intro_text_for_team,,,,,,
13,oami_block_team_join,oami_block_team_join,oami_block_team_join,,,,,,
14,oami_block_intellectual_property,oami_block_intellectual_property,oami_block_intellectual_property_text,,,,,,
16,oami_block_enter_the competition,oami_block_enter_the competition,oami_you_must_fill_in_all_fields,,,,,,
17,oami_block_ip_campaigns,oami_block_ip_campaigns,oami_block_ip_campaigns,,,,,,
18,oami_block_ip_campaigns_view_all,oami_block_ip_campaigns_view_all,,,,oami_view_all,Ideas-gallery,,
19,oami_block_join_conversation,oami_block_join_conversation,oami_block_join_conversation,,,,,,
20,oami_block_more_ip_campaigns,oami_block_more_ip_campaigns,oami_block_more_ip_campaigns,,,,,,
21,oami_block_gallery_intro,oami_block_gallery_intro,oami_intro_text_for_gallery,,,,,,
22,oami_block_ip_campaigns_title,oami_block_ip_campaigns_title,oami_block_ip_campaigns_title,,,,,,
23,oami_block_ip_campaigns_intro,oami_block_ip_campaigns_intro,oami_block_ip_campaigns_intro,,,,,,
24,oami_block_gallery_title,oami_block_gallery_title,oami_block_gallery_title,,,,,,
25,oami_block_blog_title,oami_block_blog_title,oami_block_blog_title,,,,,,
26,oami_block_more_participations,oami_block_more_participations,oami_block_more_participations,,,,,,
27,oami_block_participation_view_all,oami_block_participation_view_all,,,,oami_view_all,ideas-gallery,,
28,oami_block_competition_title,oami_block_competition_title,oami_block_competition_title,,,,,,
29,oami_block_contributors_title,oami_block_contributors_title,oami_block_contributors_title,,,,,,
30,block_enter_the competition_title,block_enter_the competition_title,block_enter_the competition_title,,,,,,
31,block_enter_the competition_entry_title,block_enter_the competition_entry_title,block_enter_the competition_entry_title,,,,,,
32,oami_block_guide,oami_block_guide,oami_block_guide_text,,,oami_read_more,guide,,
33,oami_block_rules,oami_block_rules,oami_block_rules_text,,,oami_read_more,rules,,
34,oami_block_faqs,oami_block_faqs,oami_block_faqs_text,,,oami_read_more,faqs,,
35,oami_block_header_competition,oami_block_header_competition,oami_block_header_competition,,,,,,
36,oami_block_header_competition,oami_block_header_competition,,,,oami_block_header_competition_link,competition,,
37,oami_block_header_latest_winners,oami_block_header_latest_winners,,,,oami_block_header_latest_winners_link,competition,,
38,oami_block_header_gallery,oami_block_header_gallery,,,,oami_block_header_gallery_link,gallery,,
39,oami_block_facebook_title,oami_block_facebook_title,oami_block_facebook_title,,,,,,
40,oami_block_facebook_link,oami_block_facebook_link,,,,oami_block_facebook_title_link,https://www.facebook.com/IdeasPowered,,
41,oami_competition_title,oami_competition_title,oami_competition_title,,,,,,
42,oami_competition_intro,oami_competition_intro,oami_competition_intro,,,,,,
43,oami_competition_banner,oami_competition_banner,oami_text_for_banner_competition,,,,,,
44,oami_enter_competition_link,oami_enter_competition_link,,,,oami_enter_now,node/add/participation,,
45,oami_signup_title,oami_signup_title,oami_signup_title,,,,,,
46,oami_signup_terms,oami_signup_terms,oami_signup_terms,,,,,,
47,oami_have_account,oami_have_account,oami_have_account,,,oami_sign_in,user/register,,
48,oami_contact_us_title,oami_contact_us_title,oami_contact_us_title,,,,,,
49,oami_participate_banner,oami_participate_banner,oami_participate,oami_in_the_competition,oami_find_out_more,,node/add/participation,,
50,oami_contributors_banner,oami_contributors_banner,oami_got_something_to_say,oami_why_not_become_a_contributor,,oami_contact_the_team,contact,,
51,oami_contributors_banner_text,oami_contributors_banner_text,oami_contributors_banner_text,,,,,,
52,oami_ip_campaign_view_all,oami_ip_campaign_view_all,,,,oami_view_all,ip-campaigns,,
53,oami_block_twitter_link,oami_block_twitter_link,,,,oami_block_twitter_title_link,https://twitter.com/IdeasPowered,,
39,oami_block_twitter_title,oami_block_twitter_title,oami_block_twitter_title,,,,,,
